Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Crisis sanitaria afecta a Tilcara, Jujuy","Grave crisis sanitaria ocurrió en las inmediaciones de Tilcara, Jujuy. El incidente afectando gravemente la infraestructura local. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Evento sanitario,-23.574039,-65.36991,11/11/2013
Impacto de Contaminación ambiental severa en comunidad de Avellaneda,"Grave contaminación ambiental severa ocurrió en las inmediaciones de Avellaneda, Buenos Aires. El incidente bloqueando las principales vías de acceso. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Contaminación,-34.647167,-58.343773,12/05/2019
"Polución industrial afecta a El Calafate, Santa Cruz","Grave polución industrial ocurrió en las inmediaciones de El Calafate, Santa Cruz. El incidente provocando pánico entre los residentes locales. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Desastre Tecnológico - Contaminación,-50.316173,-72.249337,08/03/2022
"Casos agrupados de enfermedad genera crisis en Tinogasta, Catamarca","Autoridades confirmaron un casos agrupados de enfermedad en Tinogasta, Catamarca. El incidente afectando gravemente la infraestructura local. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Evento sanitario,-28.094528,-67.538624,21/11/2018
"Autoridades responden a Contaminación por derrame en Tandil, Buenos Aires","Grave contaminación por derrame ocurrió en las inmediaciones de Tandil, Buenos Aires. El incidente bloqueando las principales vías de acceso. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desastre Tecnológico - Derrame,-37.327652,-59.120179,14/09/2015
"Habitantes de San Ramón de la Nueva Orán afrontan Fuga de material peligroso, Salta","Autoridades confirmaron un fuga de material peligroso en San Ramón de la Nueva Orán, Salta. El incidente dejando a varios sectores sin comunicación. Se ha establecido un centro de operaciones para coordinar las ayudas.",Desastre Tecnológico - Derrame,-23.118683,-64.334752,15/10/2022
"Casos múltiples de intoxicación genera crisis en Pico Truncado, Santa Cruz","Autoridades confirmaron un casos múltiples de intoxicación en Pico Truncado, Santa Cruz. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha establecido un centro de operaciones para coordinar las ayudas.",Desastre Tecnológico - Intoxicación masiva,-46.842289,-67.941678,16/09/2008
"Evacuaciones por Vertido contaminante en Barranqueras, Chaco","Grave vertido contaminante ocurrió en las inmediaciones de Barranqueras, Chaco. El incidente dejando a varios sectores sin comunicación. Se ha establecido un centro de operaciones para coordinar las ayudas.",Desastre Tecnológico - Contaminación,-27.442869,-58.907756,17/10/2008
"Devastador Polución industrial afecta a Lules, Tucumán","Un grave polución industrial se registró en Lules, Tucumán. El incidente destruyendo viviendas y dejando a familias evacuadas. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Contaminación,-26.914376,-65.319797,08/07/2003
Contaminación de fuente hídrica deja múltiples daños en Las Breñas,"Grave contaminación de fuente hídrica ocurrió en las inmediaciones de Las Breñas, Chaco. El incidente dejando un rastro de destrucción importante. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Contaminación,-27.128614,-61.075093,24/01/2019
"Contaminación ambiental severa impacta en Las Breñas, Chaco","Un grave contaminación ambiental severa se registró en Las Breñas, Chaco. El incidente bloqueando las principales vías de acceso. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Contaminación,-27.070396,-61.093618,20/10/2020
Se reporta Propagación de enfermedad infecciosa en zona de San Martín,"Autoridades confirmaron un propagación de enfermedad infecciosa en San Martín, Mendoza. El incidente dejando varios heridos y daños materiales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Evento sanitario,-33.102249,-68.423391,08/05/2019
Emergencia por Vertido de químicos en Resistencia,"Un grave vertido de químicos se registró en Resistencia, Chaco. El incidente resultando en el cierre temporal de escuelas y comercios. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Desastre Tecnológico - Derrame,-27.456475,-59.020452,07/10/2013
"Casos de intoxicación por consumo genera crisis en General Pico, La Pampa","Grave casos de intoxicación por consumo ocurrió en las inmediaciones de General Pico, La Pampa. El incidente causando pérdidas millonarias y afectando a cientos de personas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Desastre Tecnológico - Intoxicación masiva,-35.634395,-63.79138,27/02/2015
"Pirané en alerta por Intoxicación alimentaria masiva, Formosa","Un grave intoxicación alimentaria masiva se registró en Pirané, Formosa. El incidente causando pérdidas millonarias y afectando a cientos de personas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Intoxicación masiva,-25.725152,-59.06131,25/11/2011
"Brote de enfermedad contagiosa causa estragos en San Lorenzo, Santa Fe","Grave brote de enfermedad contagiosa ocurrió en las inmediaciones de San Lorenzo, Santa Fe. El incidente dejando varios heridos y daños materiales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Evento sanitario,-32.786098,-60.741543,05/07/2005
Consecuencias graves tras Crisis ambiental por contaminantes en Corrientes,"Autoridades confirmaron un crisis ambiental por contaminantes en Corrientes, Corrientes. El incidente generando preocupación entre autoridades provinciales. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Contaminación,-27.50125,-58.882991,29/07/2001
Preocupación por Intoxicación por sustancias químicas en 25 de Mayo,"Grave intoxicación por sustancias químicas ocurrió en las inmediaciones de 25 de Mayo, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Desastre Tecnológico - Intoxicación masiva,-35.471135,-60.124,13/11/2016
"Fuga de material peligroso causa estragos en Mercedes, Corrientes","Autoridades confirmaron un fuga de material peligroso en Mercedes, Corrientes. El incidente generando serios daños ambientales en la región. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Desastre Tecnológico - Derrame,-29.146253,-58.077993,11/05/2000
